title,soldprice,solddate
30pcs LS404CD | HIGH PERFORMANCE QUAD OP AMP | SO-14 | LM324 LM348 LF347,3.84,"Sold  Apr 17, 2023"
"1981 V3 EHX Electric Mistress Deluxe, Mostly Working, Reticon 1024 Chip is Good",197.5,"Sold  Jan 22, 2023"
"RE-STIRKE ---- (1943-44) FRENCH INDO CHINA ""LM-433 LEC-324 / REF# 0418",6.5,"Sold  Feb 12, 2023"
N SCALE ATLAS 50-002-803 THRALL 4750CF 3 BAY COVERED HOPPER,22.75,"Sold  Mar 28, 2023"
N SCALE ATHEARN 12921 ROCK/800207 ACF 3 BAY 4600CF COVERED HOPPER,27.5,"Sold  Mar 31, 2023"
